row,Rec,Tgts,Yds,Avg,Lng,Td,player,playerid,recRate,ydsPerTgt
70,1,4,41,41,41,1,AJ Green,1,0.25,10.3
71,10,14,124,12.4,26,1,AJ Green,1,0.71,8.9
72,4,5,29,7.3,18,0,AJ Green,1,0.80,5.8
73,4,11,118,29.5,58,0,AJ Green,1,0.36,10.7
74,5,8,90,18,37,1,AJ Green,1,0.63,11.3
75,5,7,51,10.2,22,1,AJ Green,1,0.71,7.3
76,4,10,63,15.8,43,1,AJ Green,1,0.40,6.3
77,7,7,83,11.9,23,0,AJ Green,1,1.00,11.9
78,1,2,36,36,36,1,AJ Green,1,0.50,18.0
79,3,4,110,36.7,51,0,AJ Green,1,0.75,27.5
80,6,11,87,14.5,43,1,AJ Green,1,0.55,7.9
81,5,7,59,11.8,36,0,AJ Green,1,0.71,8.4
82,6,9,115,19.2,55,0,AJ Green,1,0.67,12.8
83,2,8,25,12.5,17,0,AJ Green,1,0.25,3.1
84,2,9,26,13,18,0,AJ Green,1,0.22,2.9
85,5,12,47,9.4,21,0,AJ Green,1,0.42,3.9
80,5,11,70,14,19,0,AJ Green,1,0.45,6.4
81,7,12,58,8.3,12,1,AJ Green,1,0.58,4.8
82,9,11,183,20.3,73,1,AJ Green,1,0.82,16.6
83,6,9,117,19.5,42,1,AJ Green,1,0.67,13.0
84,9,13,65,7.2,18,1,AJ Green,1,0.69,5.0
85,7,11,135,19.3,57,2,AJ Green,1,0.64,12.3
86,1,6,8,8,8,1,AJ Green,1,0.17,1.3
87,7,9,99,14.1,37,1,AJ Green,1,0.78,11.0
88,7,10,85,12.1,56,1,AJ Green,1,0.70,8.5
89,6,12,91,15.2,40,1,AJ Green,1,0.50,7.6
90,3,9,111,37,48,0,AJ Green,1,0.33,12.3
91,9,13,85,9.4,16,0,AJ Green,1,0.69,6.5
92,3,8,44,14.7,17,0,AJ Green,1,0.38,5.5
93,6,10,57,9.5,13,1,AJ Green,1,0.60,5.7
94,10,18,116,11.6,21,0,AJ Green,1,0.56,6.4
95,2,2,26,13,17,0,AJ Green,1,1.00,13.0
78,9,13,162,18,45,2,AJ Green,1,0.69,12.5
79,6,15,41,6.8,10,0,AJ Green,1,0.40,2.7
80,4,8,46,11.5,20,1,AJ Green,1,0.50,5.8
81,7,15,51,7.3,16,0,AJ Green,1,0.47,3.4
82,5,8,61,12.2,18,0,AJ Green,1,0.63,7.6
83,6,11,103,17.2,54,1,AJ Green,1,0.55,9.4
84,6,8,155,25.8,82,1,AJ Green,1,0.75,19.4
85,3,7,115,38.3,53,0,AJ Green,1,0.43,16.4
86,11,19,128,11.6,21,0,AJ Green,1,0.58,6.7
87,8,15,151,18.9,51,1,AJ Green,1,0.53,10.1
88,2,5,7,3.5,4,0,AJ Green,1,0.40,1.4
89,5,7,83,16.6,28,1,AJ Green,1,0.71,11.9
90,6,8,72,12,22,1,AJ Green,1,0.75,9.0
91,9,18,93,10.3,19,0,AJ Green,1,0.50,5.2
92,7,13,97,13.9,29,2,AJ Green,1,0.54,7.5
93,4,10,61,15.3,53,1,AJ Green,1,0.40,6.1
0,7,11,95,13.6,21,1,Andre Johnson,2,0.64,8.6
1,7,9,93,13.3,43,1,Andre Johnson,2,0.78,10.3
2,7,12,128,18.3,48,0,Andre Johnson,2,0.58,10.7
3,4,5,36,9,13,0,Andre Johnson,2,0.80,7.2
4,2,3,22,11,14,0,Andre Johnson,2,0.67,7.3
5,4,9,97,24.3,50,0,Andre Johnson,2,0.44,10.8
6,2,2,21,10.5,16,0,Andre Johnson,2,1.00,10.5
7,5,9,90,18,40,1,Andre Johnson,2,0.56,10.0
8,8,15,111,13.9,19,0,Andre Johnson,2,0.53,7.4
0,8,10,119,14.9,29,1,Andre Johnson,2,0.80,11.9
1,3,4,21,7,11,0,Andre Johnson,2,0.75,5.3
2,2,5,72,36,60,1,Andre Johnson,2,0.40,14.4
3,3,6,56,18.7,33,0,Andre Johnson,2,0.50,9.3
4,1,6,15,15,15,0,Andre Johnson,2,0.17,2.5
5,8,12,75,9.4,15,0,Andre Johnson,2,0.67,6.3
6,9,10,86,9.6,14,0,Andre Johnson,2,0.90,8.6
7,8,10,118,14.8,34,0,Andre Johnson,2,0.80,11.8
8,4,10,35,8.8,11,0,Andre Johnson,2,0.40,3.5
9,14,19,273,19.5,48,1,Andre Johnson,2,0.74,14.4
10,9,15,188,20.9,43,0,Andre Johnson,2,0.60,12.5
11,5,7,56,11.2,21,0,Andre Johnson,2,0.71,8.0
12,8,10,95,11.9,25,0,Andre Johnson,2,0.80,9.5
13,11,13,151,13.7,52,1,Andre Johnson,2,0.85,11.6
14,7,10,97,13.9,19,0,Andre Johnson,2,0.70,9.7
15,12,17,141,11.8,39,0,Andre Johnson,2,0.71,8.3
0,12,16,146,12.2,27,0,Andre Johnson,2,0.75,9.1
1,8,13,76,9.5,21,0,Andre Johnson,2,0.62,5.8
2,5,6,36,7.2,12,0,Andre Johnson,2,0.83,6.0
3,9,12,110,12.2,17,0,Andre Johnson,2,0.75,9.2
4,3,10,39,13,19,0,Andre Johnson,2,0.30,3.9
5,7,8,88,12.6,19,0,Andre Johnson,2,0.88,11.0
6,4,6,89,22.3,42,0,Andre Johnson,2,0.67,14.8
7,9,13,229,25.4,62,3,Andre Johnson,2,0.69,17.6
8,5,12,37,7.4,14,2,Andre Johnson,2,0.42,3.1
9,10,17,116,11.6,34,0,Andre Johnson,2,0.59,6.8
10,2,6,36,18,21,0,Andre Johnson,2,0.33,6.0
11,8,9,121,15.1,29,0,Andre Johnson,2,0.89,13.4
12,13,21,154,11.8,27,0,Andre Johnson,2,0.62,7.3
13,4,10,18,4.5,9,0,Andre Johnson,2,0.40,1.8
14,4,13,63,15.8,33,0,Andre Johnson,2,0.31,4.8
15,6,9,49,8.2,13,0,Andre Johnson,2,0.67,5.4
270,4,7,74,18.5,27,1,Anquan Boldin,3,0.57,10.6
271,3,7,46,15.3,20,0,Anquan Boldin,3,0.43,6.6
272,7,14,74,10.6,21,0,Anquan Boldin,3,0.50,5.3
273,1,2,28,28,28,0,Anquan Boldin,3,0.50,14.0
274,8,8,132,16.5,56,0,Anquan Boldin,3,1.00,16.5
275,4,12,40,10,14,1,Anquan Boldin,3,0.33,3.3
276,7,12,145,20.7,37,0,Anquan Boldin,3,0.58,12.1
277,7,10,88,12.6,21,0,Anquan Boldin,3,0.70,8.8
278,2,9,22,11,17,0,Anquan Boldin,3,0.22,2.4
279,1,2,35,35,35,1,Anquan Boldin,3,0.50,17.5
280,4,9,63,15.8,22,0,Anquan Boldin,3,0.44,7.0
281,2,4,32,16,16,0,Anquan Boldin,3,0.50,8.0
282,5,6,57,11.4,26,0,Anquan Boldin,3,0.83,9.5
283,2,3,51,25.5,33,0,Anquan Boldin,3,0.67,17.0
284,4,8,73,18.3,28,1,Anquan Boldin,3,0.50,9.1
285,6,8,101,16.8,37,0,Anquan Boldin,3,0.75,12.6
286,4,5,63,15.8,34,1,Anquan Boldin,3,0.80,12.6
287,2,4,7,3.5,7,0,Anquan Boldin,3,0.50,1.8
288,4,7,48,12,24,0,Anquan Boldin,3,0.57,6.9
289,9,12,131,14.6,28,0,Anquan Boldin,3,0.75,10.9
290,4,10,82,20.5,43,0,Anquan Boldin,3,0.40,8.2
291,5,6,98,19.6,31,0,Anquan Boldin,3,0.83,16.3
292,3,8,24,8,10,0,Anquan Boldin,3,0.38,3.0
293,5,5,57,11.4,21,0,Anquan Boldin,3,1.00,11.4
294,4,7,38,9.5,19,0,Anquan Boldin,3,0.57,5.4
295,8,12,79,9.9,23,0,Anquan Boldin,3,0.67,6.6
296,2,8,42,21,23,0,Anquan Boldin,3,0.25,5.3
297,5,12,81,16.2,31,1,Anquan Boldin,3,0.42,6.8
298,3,3,78,26,31,2,Anquan Boldin,3,1.00,26.0
299,0,0,0,0,0,0,Anquan Boldin,3,#DIV/0!,#DIV/0!
300,7,7,93,13.3,39,0,Anquan Boldin,3,1.00,13.3
301,5,7,145,29,50,1,Anquan Boldin,3,0.71,20.7
249,13,17,208,16,43,1,Anquan Boldin,3,0.76,12.2
250,1,4,7,7,7,0,Anquan Boldin,3,0.25,1.8
251,5,8,67,13.4,24,0,Anquan Boldin,3,0.63,8.4
252,5,7,90,18,42,1,Anquan Boldin,3,0.71,12.9
253,2,6,21,10.5,12,0,Anquan Boldin,3,0.33,3.5
254,3,8,28,9.3,15,0,Anquan Boldin,3,0.38,3.5
255,5,6,74,14.8,25,0,Anquan Boldin,3,0.83,12.3
256,4,6,56,14,21,0,Anquan Boldin,3,0.67,9.3
257,3,5,23,7.7,9,0,Anquan Boldin,3,0.60,4.6
258,6,9,56,9.3,14,1,Anquan Boldin,3,0.67,6.2
259,5,6,94,18.8,32,2,Anquan Boldin,3,0.83,15.7
