AJ,Andre,Anquan,Bmarsh,Brian,Calvin,Demaryius,Desean,Reggie Wayne,Roddie White
4,11,7,13,8,10,10,12,10,13
14,9,7,12,6,7,3,3,8,4
5,12,14,7,4,11,2,6,13,17
11,5,2,8,5,13,0,9,8,11
8,3,8,13,6,6,6,7,7,10
7,9,12,9,2,9,0,7,7,5
10,2,12,6,0,11,7,6,4,10
7,9,10,11,0,7,13,8,14,9
2,15,9,9,3,19,13,8,6,7
4,10,2,3,2,8,8,10,6,14
11,4,9,12,5,8,7,5,7,13
7,5,4,7,2,8,7,6,5,15
9,6,6,8,1,4,9,2,8,11
8,6,3,8,5,14,7,9,3,16
9,12,8,11,8,6,11,6,14,17
12,10,8,8,7,17,11,9,11,9
11,10,5,15,8,7,6,9,18,8
12,10,4,5,12,12,11,9,7,11
11,19,7,11,9,12,2,9,15,8
9,15,12,8,18,12,9,9,20,12
13,7,10,17,5,12,8,8,10,6
11,10,6,10,0,11,11,8,11,8
6,13,8,14,6,8,9,7,11,4
9,10,5,10,12,8,8,8,9,10
10,17,7,13,10,13,10,8,11,13
12,16,12,4,7,11,7,1,18,13
9,13,8,17,5,17,9,9,14,7
13,6,12,14,10,21,14,15,8,7
8,12,3,20,6,13,8,7,10,11
10,10,0,7,6,17,11,6,8,5
18,8,7,15,7,17,6,13,12,10
2,6,7,14,7,14,11,6,12,10
13,13,17,10,15,9,10,8,8,2
15,12,4,10,8,8,6,11,8,4
8,17,8,8,6,13,5,6,6,4
15,6,7,14,4,10,10,5,11,9
8,9,6,5,8,8,11,4,9,4
11,21,8,11,11,14,10,6,8,4
8,,6,10,6,17,13,6,8,9
7,,6,13,5,17,9,15,,2
19,,5,12,8,12,6,5,,14
15,,9,10,13,14,10,4,,10
5,,6,12,5,10,5,,,7
7,,14,9,15,6,14,,,16
8,,8,8,8,14,6,,,14
18,,8,12,7,4,,,,
13,,7,9,10,,,,,
10,,11,10,5,,,,,
