,Rec,Tgts,Yds,Avg,Lng,Td,Name
0,7,11,95,13.6,21,1,Andre Johnson
1,7,9,93,13.3,43,1,Andre Johnson
2,7,12,128,18.3,48,0,Andre Johnson
3,4,5,36,9,13,0,Andre Johnson
4,2,3,22,11,14,0,Andre Johnson
5,4,9,97,24.3,50,0,Andre Johnson
6,2,2,21,10.5,16,0,Andre Johnson
7,5,9,90,18,40,1,Andre Johnson
8,8,15,111,13.9,19,0,Andre Johnson
9,7,13,139,19.9,31,0,Brandon Marshall
10,6,12,79,13.2,29,1,Brandon Marshall
11,4,7,43,10.8,15,0,Brandon Marshall
12,5,8,52,10.4,14,0,Brandon Marshall
13,6,13,109,18.2,46,0,Brandon Marshall
14,6,9,61,10.2,16,0,Brandon Marshall
15,4,6,55,13.8,20,0,Brandon Marshall
16,8,11,106,13.3,30,1,Brandon Marshall
17,7,9,98,14,26,0,Brandon Marshall
18,1,3,5,5,5,0,Brandon Marshall
19,5,12,103,20.6,39,1,Brandon Marshall
20,4,7,60,15,38,0,Brandon Marshall
21,4,8,27,6.8,16,1,Brandon Marshall
22,3,8,84,28,65,1,Brandon Marshall
23,6,11,143,23.8,47,1,Brandon Marshall
24,5,8,50,10,19,0,Brandon Marshall
25,6,10,88,14.7,36,2,Calvin Johnson
26,3,7,29,9.7,15,2,Calvin Johnson
27,7,11,108,15.4,40,2,Calvin Johnson
28,8,13,96,12,23,2,Calvin Johnson
29,5,6,130,26,73,1,Calvin Johnson
30,7,9,113,16.1,41,0,Calvin Johnson
31,5,11,115,23,57,1,Calvin Johnson
32,6,7,125,20.8,56,1,Calvin Johnson
33,7,19,81,11.6,40,0,Calvin Johnson
34,5,8,89,17.8,30,0,Calvin Johnson
35,4,8,49,12.3,23,1,Calvin Johnson
36,6,8,69,11.5,22,0,Calvin Johnson
37,3,4,29,9.7,14,0,Calvin Johnson
38,9,14,214,23.8,51,2,Calvin Johnson
39,4,6,102,25.5,46,1,Calvin Johnson
40,11,17,244,22.2,41,1,Calvin Johnson
41,8,11,160,20,99,2,Wes Welker
42,7,11,81,11.6,17,0,Wes Welker
43,16,20,217,13.6,33,2,Wes Welker
44,9,14,158,17.6,32,1,Wes Welker
45,5,8,124,24.8,73,0,Wes Welker
46,6,10,45,7.5,13,1,Wes Welker
47,6,8,39,6.5,10,0,Wes Welker
48,9,10,136,15.1,28,0,Wes Welker
49,6,8,46,7.7,14,0,Wes Welker
50,2,3,22,11,16,0,Wes Welker
51,8,12,115,14.4,41,2,Wes Welker
52,11,11,110,10,18,0,Wes Welker
53,7,10,86,12.3,24,1,Wes Welker
54,4,6,41,10.3,19,0,Wes Welker
