AJ Green,Andre Johnson,Anquan,Brandon,Calvin,Demaryius,Desean,Reggie,Roddy
41,95,74,139,88,27,102,106,61
124,93,46,79,29,10,21,66,23
29,128,74,43,108,29,30,24,140
118,36,28,52,96,0,171,59,78
90,22,132,109,130,37,86,77,50
51,97,40,61,113,0,46,58,21
63,21,145,55,115,144,31,36,52
83,90,88,106,125,78,16,61,76
36,111,22,98,81,116,88,30,62
110,119,35,5,89,76,73,13,147
87,21,63,103,49,34,34,122,120
59,72,32,60,69,204,59,55,51
115,56,57,27,29,93,28,41,84
25,15,51,84,214,110,90,33,135
26,75,73,143,102,78,86,106,127
47,86,101,50,244,34,77,73,69
70,118,63,119,111,103,114,135,87
58,35,7,24,94,180,43,71,102
183,273,48,71,164,37,99,88,55
117,188,131,138,54,137,58,212,169
65,56,82,144,135,77,74,87,68
135,95,98,81,34,135,59,73,72
8,151,24,98,46,42,100,91,38
99,97,57,122,129,82,62,78,118
85,141,38,107,207,99,5,96,114
91,146,79,21,143,83,9,72,123
111,76,42,92,140,13,104,102,57
85,36,81,165,171,102,193,51,20
44,110,78,160,118,122,62,64,117
57,39,0,56,121,161,34,14,16
116,88,93,68,225,52,132,81,153
26,89,145,42,72,94,64,40,42
162,229,208,104,37,86,21,96,19
41,37,7,113,116,57,63,46,21
46,116,67,52,115,78,150,58,16
51,36,90,79,44,82,80,100,28
61,121,21,30,25,75,82,65,45
103,154,28,87,155,108,36,88,20
155,18,74,75,329,121,59,50,36
115,63,56,107,83,41,195,,24
128,49,23,139,179,106,29,,143
151,,56,42,115,88,28,,74
7,,94,117,101,45,,,53
83,,98,45,52,123,,,141
72,,93,100,98,113,,,91
93,,43,95,43,,,,
97,,72,36,,,,,
61,,149,74,,,,,
